Tree_ID,Address,Town,Tree_Species,Species_Desc,Common_Name,Age_Desc,Height,Spread,Trunk,Actual_Trunk,Condition,Latitude,Longitude
73812,"Blackberry Lane, Portmarnock",Portmarnock,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Young,Up to 5 metres,3 to 6 metres,11cm to 20cm,15cm,Good,53.4290036,-6.132532065
623852,"Saint Columba's Rise, Swords",Swords North,SOXT,Sorbus x thuringiaca,Bastard Service Tree,Semi-Mature,5.1-10 metres,3 to 6 metres,21cm to 30cm,27cm,Fair,53.45921129,-6.226206997
313880,"Saint Margaret's Park, Malahide",Malahide,ACPL,Acer platanoides,Norway Maple,Young,Up to 5 metres,Up to 3 metres,11cm to 20cm,16cm,Good,53.4467804,-6.154411355
608364,"Estuary Court, Swords",Swords East,ACPL,Acer platanoides,Norway Maple,Mature,5.1-10 metres,6 to 9 metres,21cm to 30cm,26cm,Good,53.46397748,-6.213377354
129660,"Tuscany Park, Baldoyle",Sutton West,ACPL,Acer platanoides,Norway Maple,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,20cm,Good,53.39490421,-6.13298974
129672,"Tuscany Park, Baldoyle",Sutton West,ACPL,Acer platanoides,Norway Maple,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,18cm,Good,53.39494544,-6.132402502
134668,"Grange Drive, Baldoyle Industrial Estate",Sutton West,ACPL,Acer platanoides,Norway Maple,Young,5.1-10 metres,3 to 6 metres,1cm - 10cm,10cm,Good,53.39665764,-6.145185095
124452,"Huntstown Rise, Blanchardstown",Huntstown,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Young,Up to 5 metres,Up to 3 metres,11cm to 20cm,14cm,Good,53.40179595,-6.40446575
124488,"Huntstown Rise, Blanchardstown",Huntstown,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,19cm,Good,53.40146484,-6.404561593
109528,"Binn Eadair View, Sutton",Sutton West,TISP,Tilia spp.,Lime,Semi-Mature,Up to 5 metres,3 to 6 metres,11cm to 20cm,14cm,Good,53.39057088,-6.120798132
109532,"Binn Eadair View, Sutton",Sutton West,TISP,Tilia spp.,Lime,Semi-Mature,Up to 5 metres,3 to 6 metres,11cm to 20cm,16cm,Good,53.39048961,-6.120796152
611640,"Gartan Drive, Swords",Swords North,ACCA,Acer campestre,Field Maple,Semi-Mature,5.1-10 metres,3 to 6 metres,21cm to 30cm,29cm,Good,53.46517605,-6.206734833
503240,"Kelly's Bay Tower, Skerries",Skerries,ACPL,Acer platanoides,Norway Maple,Young,Up to 5 metres,Up to 3 metres,1cm - 10cm,9cm,Good,53.58095435,-6.13172013
504224,"Mourne View, Skerries",Skerries,ACPL,Acer platanoides,Norway Maple,Semi-Mature,5.1-10 metres,3 to 6 metres,21cm to 30cm,24cm,Good,53.58108317,-6.123161504
73808,"Blackberry Lane, Portmarnock",Portmarnock,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Young,Up to 5 metres,Up to 3 metres,1cm - 10cm,7cm,Good,53.42906021,-6.13265266
